Year,Life_expectancy ,infant_deaths,Alcohol,percentage_expenditure,Hepatitis B,Measles ,under_five_deaths ,Polio,Total_expenditure,Diphtheria ,Income_composition_of_resources,Schooling
2007,75.9,1,5.58,32.24655228,98,22,1,99,6.1,98,0.703,11.6
2006,74.2,1,5.31,3.3021542,98,68,1,97,5.86,97,0.696,11.4
2005,73.5,1,5.16,26.99312143,98,6,1,97,6.12,98,0.685,10.8
2004,73,1,4.54,221.8428,99,7,1,98,6.38,97,0.681,10.9
2003,72.8,1,4.29,14.71928882,97,8,1,97,6.27,97,0.674,10.7
2002,73.3,1,3.73,104.5169157,96,16,1,98,6.3,98,0.67,10.7
2001,73.6,1,4.25,96.20557078,96,18,1,97,6,97,0.662,10.6
2000,72.6,1,3.66,91.71154052,96,662,1,97,6.26,97,0.656,10.7
2015,75.6,21,,0,95,63,24,95,,95,0.743,14.4
2014,75.4,21,0.01,54.2373183,95,0,24,95,7.21,95,0.741,14.4
2013,75.3,21,0.53,544.4507432,95,25,24,95,7.12,95,0.737,14.4
2012,75.1,21,0.66,555.9260834,95,18,24,95,6.14,95,0.732,14.4
2011,74.9,21,0.56,509.0020405,95,112,24,95,5.29,95,0.724,14
2010,74.7,21,0.45,430.7175861,95,103,24,95,5.12,95,0.714,13.6
2009,74.4,20,0.5,352.0636419,94,107,23,94,5.36,95,0.705,13.1
2008,74.1,20,0.46,43.08717334,91,217,23,92,4.2,93,0.697,12.6
2007,73.8,20,0.44,320.3239241,9,0,23,95,3.82,95,0.69,12.3
2006,73.4,20,0.36,270.2401962,8,944,23,95,3.36,95,0.686,12.3
2005,72.9,19,0.5,2.548922758,83,2302,22,88,3.24,88,0.68,12
2004,72.3,19,0.45,220.393699,81,3289,23,86,3.54,86,0.673,11.7
2003,71.7,20,0.34,25.0185226,,15374,23,87,3.6,87,0.663,11.5
2002,71.6,20,0.36,148.5119843,,5862,23,86,3.73,86,0.653,11.1
2001,71.4,20,0.23,147.9860714,,2686,24,89,3.84,89,0.644,10.9
2000,71.3,21,0.25,154.4559436,,0,25,86,3.49,86,0.636,10.7
2015,52.4,66,,0,64,118,98,7,,64,0.531,11.4
2014,51.7,67,8.33,23.965612,64,11699,101,68,3.31,64,0.527,11.4
2013,51.1,69,8.1,35.95857279,77,8523,105,67,4.26,77,0.523,11.4
2012,56,72,8.24,256.1225243,75,4458,110,75,3.3,75,0.508,10.3
2011,51,75,8.06,239.8913921,72,1449,115,73,3.38,71,0.495,9.4
2010,49.6,78,7.8,191.6537407,77,1190,121,81,3.39,77,0.488,9
2009,49.1,81,7.01,212.9229325,61,2807,127,63,4.37,6,0.48,8.5
2008,48.7,84,7.07,249.9101958,69,265,133,65,3.84,69,0.468,8.1
2007,48.2,87,6.35,184.8213446,73,1014,138,75,3.38,73,0.454,7.7
2006,47.7,90,5.84,25.08688824,,765,143,36,4.54,34,0.439,7.2
2005,47.4,92,5.04,98.19145117,,258,148,39,4.1,38,0.426,6.8
2004,47.1,94,3.53,8.8667775,,29,152,4,4.71,4,0.415,6.4
2003,46.8,95,3.49,35.93349121,,1196,155,4,4.41,4,0.406,5.9
2002,46.5,96,2.82,24.037942,,11945,157,37,3.63,41,0.401,5.5
2001,45.7,97,2.58,30.35993647,,9046,159,41,5.38,38,0.391,5.1
2000,45.3,97,1.85,15.88149254,,2219,160,3,2.79,28,0.382,4.6
2015,76.4,0,,0,99,0,0,86,,99,0.784,13.9
2014,76.2,0,8.56,2422.999774,99,0,0,96,5.54,99,0.782,13.9
2013,76.1,0,8.58,1991.430372,99,0,0,98,5.33,99,0.781,13.9
2012,75.9,0,8.18,2156.229842,98,0,0,97,5.39,98,0.778,13.8
2011,75.7,0,7.84,1810.875316,99,0,0,99,5.65,99,0.782,14.1
2010,75.6,0,7.84,1983.956937,98,0,0,99,5.63,98,0.783,14.1
2009,75.4,0,7.82,149.3587355,98,0,0,98,4.86,99,0.788,14.2
2008,75.2,0,8.27,180.7762695,98,0,0,99,4.69,99,0.786,14.4
2007,75,0,8.64,257.9665308,97,0,0,98,4.27,99,0.781,14.5
2006,74.8,0,8.93,216.3146941,99,0,0,99,4.34,99,0.773,14.7
2005,74.6,0,8.15,1455.608186,99,0,0,98,4.41,99,0,0
2004,74.4,0,7.28,22.86295206,97,0,0,97,4.21,97,0,0
2003,74.2,0,7.16,1158.065259,99,0,0,99,4.53,99,0,0
2002,74,0,7.21,927.4075855,99,0,0,93,4.41,98,0,0
2001,73.8,0,7.51,163.7676978,96,0,0,99,4.48,97,0,0
2000,73.6,0,7.27,1127.74347,,0,0,96,4.13,95,0,0
2015,76.3,8,,0,94,0,9,93,,94,0.826,17.3
2014,76.2,8,7.93,847.3717463,94,1,9,92,4.79,94,0.825,17.3
2013,76,8,8.28,1001.796332,94,0,10,99,4.99,94,0.823,17.3
2012,75.9,9,8.35,1133.558003,91,2,10,99,5.2,91,0.822,17.2
2011,75.7,9,8.11,1504.329462,91,3,10,93,5.89,91,0.816,17.1
2010,75.5,10,8.15,187.610955,94,17,11,95,6.55,94,0.802,16.8
2009,75.6,10,8.33,1398.042623,94,3,11,97,7.63,94,0.794,16.5
2008,75.4,10,8.41,1413.73543,9,0,11,94,6.66,93,0.792,16.3
2007,74.8,10,8.16,1105.659031,85,0,12,92,6.49,91,0.788,16.3
2006,75.2,11,7.75,961.1774676,84,0,12,92,6.68,91,0.782,16.1
2005,74.9,11,7.53,96.16653429,88,0,12,95,6.85,98,0.78,16.3
2004,74.7,11,7.63,719.3663797,81,0,12,91,6.84,98,0.775,16.3
2003,74.1,11,7.62,57.58467352,73,0,13,95,8.22,96,0.77,16.4
2002,74.1,12,7.81,470.1869145,66,0,13,94,8.31,93,0.776,16.3
2001,74,12,7.76,123.0128671,,0,13,85,9.38,83,0.771,15.6
2000,74.1,12,7.68,1349.025282,,6,14,88,9.21,83,0.764,15
2015,74.8,1,,0,94,33,1,96,,94,0.741,12.7
2014,74.6,1,3.91,295.6087143,93,13,1,95,4.48,93,0.739,12.7
2013,74.4,1,3.79,279.4290812,95,10,1,96,4.55,95,0.736,12.7
2012,74.4,1,3.89,274.1526986,95,0,1,96,4.48,95,0.732,12.7
2011,73.9,1,4.09,260.9963826,95,0,1,96,3.71,95,0.729,12.7
2010,73.5,1,4.23,224.3212014,94,2,1,96,4.56,94,0.72,12.3
2009,73.3,1,3.96,201.1855461,93,0,1,94,4.55,93,0.725,11.9
2008,73.2,1,3.96,2.8888979,89,0,1,91,3.8,89,0.721,12.3
2007,73.5,1,3.99,44.57219966,85,1,1,9,4.31,88,0.707,11.7
2006,72.9,1,4.01,244.5352767,78,137,1,87,4.58,87,0.692,11.2
2005,73,1,4.25,20.21822828,91,2281,1,92,5.25,9,0.679,10.9
2004,73,1,3.81,97.74087744,91,1783,1,93,5.5,91,0.668,10.9
2003,72.7,1,3.03,7.341493148,93,4,1,96,5.56,94,0.657,10.8
2002,72.6,1,2.86,57.17810403,91,40,1,96,5.4,94,0.645,10.8
2001,72.6,1,2.86,53.19373012,69,69,1,97,5.94,94,0.644,11.1
2000,72,1,2.9,32.75626853,55,15,1,96,6.25,93,0.639,11.2
2015,82.8,1,,0,93,74,1,93,,93,0.937,20.4
2014,82.7,1,9.71,10769.36305,91,340,1,92,9.42,92,0.936,20.4
2013,82.5,1,9.87,11734.85381,91,158,1,91,9.36,91,0.933,20.3
2012,82.3,1,10.03,11714.99858,91,199,1,92,9.36,92,0.93,20.1
2011,82,1,10.3,10986.26527,92,190,1,92,9.2,92,0.927,19.8
2010,81.9,1,10.52,8875.786493,92,70,1,92,9.2,92,0.927,19.5
2009,81.7,1,10.62,7172.275229,94,104,1,92,9.5,92,0.925,19.1
2008,81.3,1,10.76,8547.292357,94,65,1,92,8.78,92,0.921,19.1
2007,81.3,1,10.56,872.5986092,94,11,2,92,8.53,92,0.918,19
2006,81.2,1,10.31,6187.062017,95,0,2,92,8.49,92,0.915,20.3
2005,81,1,10.3,579.1331637,95,10,2,92,8.45,92,0.91,20.3
2004,86,1,9.84,588.568371,95,70,1,92,8.57,92,0.908,20.7
2003,83,1,9.97,3829.550928,95,91,1,92,8.32,93,0.905,20.6
2002,79.9,1,9.84,46.3871819,95,32,2,92,8.39,92,0.902,20.1
2001,79.9,1,9.53,3064.301144,94,141,2,91,8.18,92,0.899,20.5
2000,79.5,1,10.17,347.18736,,108,2,9,8.8,9,0.897,20.4
2015,81.5,0,,0,93,309,0,93,,93,0.892,15.9
2014,81.4,0,12.32,8350.193523,98,117,0,98,11.21,98,0.892,15.9
2013,81.1,0,11.82,90.58501176,95,0,0,95,11.14,95,0.887,15.7
2012,88,0,12.26,7878.372355,92,36,0,92,11.17,92,0.884,15.7
2011,88,0,12.04,8272.306757,89,68,0,89,1.94,89,0.88,15.7
2010,84,0,12.1,7423.228774,86,52,0,86,11.17,86,0.872,15.4
2009,82,0,11.3,8053.557638,83,49,0,83,11.19,83,0.87,15.3
2008,84,0,12,8329.731655,83,448,0,83,1.6,83,0.864,15.1
2007,81,0,12.5,7453.8644,85,20,0,85,1.4,85,0.86,15.2
2006,79.8,0,12.4,69.92899358,83,23,0,83,1.35,83,0.854,15
2005,79.4,0,12.4,5992.588029,86,9,0,86,1.53,86,0.848,14.9
2004,79.3,0,12.1,5316.877456,83,15,0,83,1.56,83,0.841,14.7
2003,78.8,0,12.2,504.4308735,83,90,0,84,1.48,84,0.837,14.7
2002,78.7,0,12.5,3979.057728,81,0,0,82,1.27,83,0.847,16.1
2001,78.6,0,12.4,3582.848308,44,0,0,83,1.12,84,0.837,15.5
2000,78.1,0,13.2,3557.455507,33,0,0,71,1.6,81,0.833,15.4
2015,72.7,5,,0,96,0,6,98,,96,0.758,12.7
2014,72.5,5,0.01,306.1824313,94,0,6,97,6.4,94,0.752,12.2
2013,72.2,5,2.14,275.6514934,93,164,6,96,5.54,93,0.745,11.9
2012,71.9,5,0.01,285.6103912,88,0,6,92,5.37,89,0.742,11.8
2011,71.6,5,1.98,263.142699,84,0,6,91,5.1,87,0.741,11.7
2010,71.1,5,1.98,246.5686008,8,0,6,85,5.33,81,0.737,11.7
2009,78,6,2.1,22.48638351,74,0,6,84,5.85,81,0.728,11.6
2008,73,6,1.18,206.2616134,68,5,6,85,4.37,81,0.719,11.6
2007,73,6,1.02,176.0107106,62,0,7,81,5.1,79,0.708,11.6
2006,69.2,6,0.85,105.6337264,52,222,7,8,6.17,78,0.682,10.7
2005,68.4,6,0.73,81.28883085,49,1238,7,79,7.86,75,0.675,11.2
2004,68.4,6,0.62,8.59680496,5,827,8,78,7.92,77,0.668,11
2003,67.8,7,0.55,42.41491183,51,1978,8,79,6.56,77,0.659,10.8
2002,67.8,7,0.55,39.33253687,5,4353,9,8,4.47,76,0.651,10.6
2001,67.5,8,0.51,4.104190077,,574,10,77,4.48,77,0.642,10.4
2000,66.6,9,0.65,35.09462644,,210,11,75,4.67,76,0.636,10.1
2015,76.1,0,,0,95,0,0,95,,95,0.79,12.6
2014,75.4,0,9.45,0,96,0,0,96,7.74,96,0.789,12.6
2013,74.8,0,9.42,0,97,0,0,97,7.5,97,0.79,12.6
2012,74.9,0,9.5,0,96,0,0,99,7.43,98,0.789,12.6
2011,75,0,9.34,0,95,0,0,97,7.63,98,0.788,12.6
2010,75,0,9.19,0,98,0,0,97,7.44,99,0.788,12.6
2009,74.6,0,9.29,0,95,0,0,97,7.43,96,0.791,12.6
2008,74.5,0,10.15,0,9,0,0,93,7.3,93,0.791,12.6
2007,74.4,0,10.75,0,93,0,0,95,7.8,95,0.79,12.5
2006,74.2,0,11.07,0,96,0,0,94,6.93,95,0.788,12.4
2005,74.1,0,10.49,0,93,0,0,93,5.95,93,0.786,12.4
2004,73.8,0,10.1,0,93,0,0,92,6.2,93,0.784,12.3
2003,73.2,0,10.68,0,88,0,0,93,5.62,92,0.783,12.2
2002,73.1,0,10.85,0,89,0,0,93,5.26,94,0.781,12.1
2001,72.9,0,11.64,0,21,0,0,98,5.15,99,0.779,12.1
2000,72.6,0,12.15,0,,0,0,91,5.21,99,0,12
2015,76.9,0,,0,98,0,0,98,,98,0.823,14.5
2014,76.8,0,1.57,367.2556742,98,46,0,98,4.98,98,0.82,14.5
2013,76.7,0,1.65,3.968695982,99,0,0,99,4.69,99,0.815,14.5
2012,76.5,0,1.7,2211.215778,99,0,0,99,4.37,99,0.812,14.5
2011,76.1,0,1.66,197.7734681,99,0,0,99,3.4,99,0.812,14.4
2010,76.1,0,1.93,266.7696122,99,0,0,99,3.64,99,0.81,14.4
2009,76,0,1.95,332.9347646,98,3,0,97,3.79,98,0.814,14.4
2008,75.8,0,2,231.5478912,97,2,0,97,3.17,97,0.815,14.4
2007,75.6,0,2,278.3602806,97,7,0,97,3.8,97,0.813,14.4
2006,75.5,0,2.1,170.7374027,98,3,0,98,3.8,98,0.81,14.2
2005,75.3,0,2.05,1553.468944,98,4,0,98,3.16,98,0.806,14
2004,75.2,0,2.16,1380.228095,98,11,0,98,3.37,98,0.803,13.9
2003,75,0,2.16,1214.558167,98,12,0,97,3.74,97,0.798,13.7
2002,74.9,0,1.99,106.4303336,98,8,0,98,3.89,98,0.796,13.5
2001,74.7,0,1.95,1150.418063,99,5,0,99,3.8,99,0.794,13.3
2000,74.5,0,2.15,167.7270642,97,6,0,97,3.51,97,0.786,13.2
2015,71.8,92,,0,97,240,113,97,,97,0.575,10.2
2014,71.4,98,0.01,10.44640334,97,289,121,97,2.82,97,0.57,10
2013,71,104,0.01,52.82986467,96,237,130,96,2.88,96,0.565,10
2012,77,111,0.01,59.2589257,94,1986,139,94,3.8,94,0.557,9.9
2011,73,118,0.01,62.34988484,96,5625,150,96,3.16,96,0.545,9.4
2010,69.9,126,0.01,62.65945432,94,788,161,94,3.6,94,0.535,8.9
2009,69.5,135,0.01,53.26400378,97,718,173,97,2.91,97,0.523,8.4
2008,69.1,144,0.01,42.48865034,96,2660,186,96,2.85,96,0.52,8.6
2007,68.6,154,0.01,46.36536703,95,2924,201,96,2.8,94,0.513,8.6
2006,68.2,164,0.01,42.3304549,86,6192,215,95,2.8,94,0.506,8.4
2005,67.8,174,0.01,38.05462002,45,25934,231,94,2.68,93,0.499,8.2
2004,67.3,185,0.01,4.11469667,11,9743,247,88,2.62,99,0.491,8.1
2003,66.8,196,0.01,35.48458957,5,4067,264,9,2.51,87,0.484,7.9
2002,66.3,207,0.01,0.397228764,,3484,280,83,2.59,83,0.476,7.7
2001,65.8,219,0.01,3.395069781,,4414,298,85,2.47,85,0.468,7.5
2000,65.3,231,0.01,3.69633051,,5098,316,83,2.33,82,0.459,7.3
2015,75.5,0,,0,97,0,0,97,,97,0.794,15.3
2014,75.4,0,8.82,294.9056584,94,0,0,95,7.47,94,0.793,15.3
2013,75.2,0,8.74,263.0372838,91,0,0,91,7.57,91,0.792,15.3
2012,75.1,0,8.61,260.0043858,87,0,0,88,7.43,87,0.785,15.3
2011,74.9,0,8.51,173.9825629,91,0,0,91,6.67,91,0.78,15.5
2010,74.7,0,8.41,154.9630863,86,0,0,9,6.17,86,0.781,15.8
2009,74.6,0,8.46,327.1618128,93,0,0,93,6.21,93,0.779,15.5
2008,74.4,0,8.95,25.52277112,85,0,0,85,6.1,85,0.775,15.3
2007,74.2,0,8.47,1641.30981,93,0,0,93,5.64,93,0.771,15
2006,74.1,0,8.39,181.5000856,84,0,0,85,5.27,84,0.766,14.8
2005,73.9,0,8.01,1311.440423,92,0,0,91,5.38,92,0.761,14.6
2004,73.8,0,7.68,166.0083443,93,0,0,93,5.71,93,0.757,14.4
2003,73.7,0,7.65,13.5139917,91,0,0,9,5.82,89,0.753,14.2
2002,73.5,0,7.59,133.099491,66,0,0,86,5.76,87,0.749,14
2001,73.4,0,7.38,138.1664627,18,0,0,93,5.47,84,0.75,14
2000,73.3,0,7.43,1140.615754,,0,0,86,5.16,93,0.741,14
2015,72.3,0,,0,99,2,0,99,,99,0.798,15.6
2014,72,0,13.94,1147.1114,97,64,0,97,5.69,97,0.796,15.7
2013,71.7,0,14.66,1109.854619,98,16,1,98,6.7,98,0.796,15.7
2012,71.9,0,16.35,91.70962117,97,10,1,98,5.1,98,0.793,15.6
2011,72,0,17.31,846.9113071,98,50,1,98,4.92,98,0.787,15.5
2010,73,0,14.44,8.49409518,96,1,1,99,5.55,98,0.78,15.5
2009,70,0,14.09,434.7985025,98,0,1,98,6.9,96,0.771,15.4
2008,70,1,14.67,501.8056141,98,0,1,98,5.95,97,0.755,15.1
2007,69.8,1,14.22,464.077513,91,1,1,9,6.44,95,0.739,14.9
2006,68.9,1,12.6,364.426052,98,149,1,97,6.34,99,0.723,14.6
2005,68.1,1,11.01,45.65007798,99,1,1,98,6.89,99,0.713,14.4
2004,68.2,1,12.05,42.33443901,99,2,1,99,6.59,99,0.703,14.1
2003,67.7,1,11.17,23.83578594,56,21,1,53,6.59,5,0.695,13.9
2002,67.2,1,12.23,145.4233629,99,14,1,99,6.47,99,0.687,13.6
2001,67.7,1,10.74,14.06141699,93,45,1,99,6.62,99,0.681,13.3
2000,68,1,12.98,24.24947846,7,21,1,99,6.13,99,0.675,13.1
2015,81.1,0,,0,98,47,1,99,,99,0.895,16.6
2014,89,0,12.6,7163.348923,98,70,1,99,1.59,99,0.89,16.3
2013,87,0,11.77,702.359357,98,39,1,99,1.57,99,0.889,16.3
2012,83,0,10.08,664.4738975,98,109,1,99,1.54,99,0.886,16.2
2011,83,0,10.11,713.5297354,97,576,1,98,1.42,98,0.884,16.1
2010,80,0,10.22,665.7356115,97,40,1,98,1.17,98,0.878,15.9
2009,79.8,0,10.05,671.9376566,97,33,1,98,1.39,98,0.876,15.8
2008,79.5,0,10.47,7191.051507,98,98,1,99,9.6,99,0.874,15.8
2007,79.5,0,10.25,640.3560918,94,64,1,99,9.25,98,0.871,15.8
2006,79.4,0,10.98,5579.199083,94,15,1,99,9.17,98,0.865,15.7
2005,78.9,0,12.27,5068.214488,77,26,1,97,9.24,97,0.861,15.7
2004,78.8,1,12.05,5160.508378,64,61,1,96,9.32,95,0.88,18.8
2003,78.3,0,11.28,507.306164,64,44,1,96,9.3,95,0.878,18.6
2002,78,1,11.29,320.3177664,6,0,1,96,8.46,95,0.875,18.8
2001,78,1,11.01,2943.375396,6,83,1,96,8.29,95,0.873,18.2
2000,77.6,1,11.21,287.2084529,6,0,1,96,8.12,95,0.869,18
2015,71,0,,0,94,0,0,94,,94,0.706,12.8
2014,70,0,6.58,670.0920883,95,0,0,95,5.79,95,0.705,12.8
2013,69.8,0,6.56,629.2018591,95,0,0,95,5.79,95,0.706,12.9
2012,69.4,0,6.66,582.8027185,98,0,0,98,5.45,98,0.702,12.5
2011,69.4,0,6.64,605.6286892,95,0,0,95,5.61,95,0.7,12.4
2010,69.5,0,6.76,569.9527122,96,0,0,96,5.85,96,0.7,12.4
2009,69.5,0,6.85,549.8096097,97,0,0,98,5.81,97,0.7,12.7
2008,69.6,0,7.22,51.25232422,94,0,0,94,5.9,94,0.699,12.8
2007,69.6,0,7.24,69.63051047,96,0,0,97,4.76,96,0.7,12.8
2006,69.4,0,6.48,387.3324928,98,0,0,98,4.4,98,0.692,12.3
2005,69,0,6.25,365.799896,96,0,0,96,4.45,96,0.695,12.8
2004,68.7,0,6.2,325.6807462,97,0,0,97,4.39,97,0.691,12.5
2003,68.4,0,5.67,312.7995946,96,0,0,95,4.53,96,0.684,12.2
2002,68.5,0,4.99,262.8299189,97,0,0,93,4.38,89,0.678,11.9
2001,68.2,0,4.9,251.6586929,96,0,0,96,4.5,96,0.677,11.8
2000,68.3,0,4.79,219.0239836,76,0,0,91,3.98,91,0.668,11.7
2015,60,25,,0,82,55,39,78,,82,0.481,10.7
2014,59.7,25,0.01,90.12206791,78,786,39,74,4.59,78,0.475,10.7
2013,59.5,25,0.01,87.4080423,77,637,39,73,4.59,77,0.466,10.3
2012,59.3,25,0.01,9.80407467,8,288,39,8,4.86,8,0.458,10
2011,59.1,25,1.4,110.2633619,75,426,39,77,5.37,75,0.454,9.8
2010,58.7,25,1.33,94.25737917,76,392,39,77,4.95,76,0.451,9.5
2009,58.4,25,1.16,71.01399249,79,1461,39,8,4.46,79,0.448,9.3
2008,57.6,25,1.28,7.615430126,75,928,39,77,4.2,75,0.444,9.1
2007,57.1,25,1.12,7.49281752,82,341,39,82,4.55,82,0.438,8.9
2006,56.8,25,1.19,75.91429496,74,176,39,76,4.75,74,0.434,8.7
2005,56.5,25,1.13,7.106997355,7,210,39,73,4.73,7,0.43,8.5
2004,56.1,25,1.15,10.73628066,75,262,39,74,4.56,72,0.423,8.1
2003,55.8,25,1.35,8.931827297,73,217,40,75,4.63,73,0.416,7.7
2002,55.6,25,1.23,40.48815233,15,1588,40,76,4.27,75,0.407,7.3
2001,55.5,25,1.29,45.33476384,,5859,40,77,4.69,76,0.395,6.6
2000,55.4,25,1.34,37.38182018,,4244,40,78,4.34,78,0.389,6.4
2015,69.8,0,,0,99,11,0,98,,99,0.604,12.5
2014,69.4,0,0.01,209.3921344,99,0,1,98,3.57,99,0.596,12.5
2013,69.1,0,0.01,19.79057439,97,0,1,97,3.83,97,0.589,12.6
2012,68.7,0,0.01,188.7373664,97,1,1,97,3.7,97,0.581,12.3
2011,68.3,0,0.23,289.8524057,95,10,1,95,4.73,95,0.572,11.9
2010,67.9,1,0.28,244.0391949,91,21,1,92,5.17,91,0,11.4
2009,67.4,1,0.17,27.48907048,93,6,1,93,6.3,93,0,10.9
2008,67,1,0.21,302.667579,96,7,1,96,6.58,96,0,10.5
2007,66.5,1,0.16,283.806236,95,11,1,93,5.88,95,0,10.1
2006,65.8,1,0.29,169.2023968,95,2,1,96,5.27,95,0,9.6
2005,65,1,0.73,145.5965445,95,11,1,95,5.28,95,0,9.2
2004,64.2,1,0.96,2.586698228,89,3,1,9,4.41,89,0,8.8
2003,63.3,1,0.52,19.15664091,95,0,1,96,4.9,95,0,8.4
2002,62.5,1,0.29,151.9755193,83,27,1,89,7.75,86,0,8
2001,61.7,1,0.14,8.574029812,89,756,1,88,5.91,88,0,7.6
2000,62,1,0.17,93.35872844,98,418,1,98,6.91,92,0,7.3
2015,77,8,,0,99,0,10,99,,99,0.671,13.8
2014,74,8,3.62,0,98,0,10,99,6.33,98,0.666,13.8
2013,71,8,3.78,0,94,0,10,95,5.96,94,0.661,13.8
2012,69.8,8,3.89,0,93,0,11,93,5.56,93,0.655,13.8
2011,69.3,9,3.93,0,95,0,11,95,5.49,95,0.649,13.8
2010,68.7,9,3.95,0,91,0,12,9,5.44,91,0.643,13.8
2009,68,10,3.87,0,93,0,12,92,5.76,93,0.636,13.8
2008,67.4,10,3.77,0,88,0,13,87,5,88,0.632,14
2007,66.8,11,3.47,0,84,0,14,85,4.96,84,0.626,14.1
2006,66.2,11,3.23,0,83,0,15,82,5.19,83,0.625,14.3
2005,65.7,12,2.86,0,85,0,16,84,5.67,85,0.622,14.4
2004,65.1,12,2.66,0,84,0,16,84,5.22,84,0.62,14.6
2003,64.5,13,2.37,0,8,0,17,82,5.3,88,0.617,14.4
2002,63.9,14,2.26,0,77,0,18,76,6.53,77,0.61,14
2001,63.3,14,2.2,0,77,0,19,71,6.31,71,0.607,13.7
2000,62.6,15,2.32,0,77,122,20,74,5.67,75,0.6,13.3
2015,77.4,0,,0,82,1677,0,74,,82,0.747,14.2
2014,77.2,0,4.03,732.8662491,89,3000,0,86,9.57,86,0.742,14.2
2013,77,0,4.12,75.61062911,91,0,0,87,9.46,89,0.735,14.2
2012,76.8,0,4.61,693.8226461,92,22,0,87,9.94,92,0.728,13.9
2011,76.9,0,4.64,7.959131146,88,10,0,89,9.71,88,0.711,13.4
2010,76.4,0,4.54,630.3883564,89,45,0,9,9.58,89,0.717,13.3
2009,76.1,0,4.75,645.021302,9,22,0,9,9.64,9,0.716,13.3
2008,76,0,5.13,66.04635027,88,8,0,92,8.58,91,0.71,13.1
2007,75.4,0,5.16,8.240355867,94,166,0,95,8.37,95,0.703,12.9
2006,75.7,0,4.82,38.25414065,9,17,0,91,8.28,87,0.697,12.7
2005,75,0,4.56,45.71354264,93,23,0,95,8.5,93,0,12.5
2004,75.5,0,4.25,3.479918859,36,28,0,87,9.4,84,0,12.3
2003,75.2,0,4.14,39.86518043,,18,0,87,7.94,87,0,12.1
2002,75.4,0,3.84,151.1399301,,28,0,86,7.1,8,0,11.9
2001,74.9,0,3.85,143.2947487,,0,0,92,7.16,91,0,11.6
2000,74.6,0,3.64,165.6168642,,43,0,87,7.9,85,0,0
2015,65.7,2,,0,95,0,2,96,,95,0.698,12.6
2014,65.1,2,0.01,662.802194,95,1,2,96,5.41,95,0.697,12.6
2013,64.2,2,0.01,1.117811275,95,1,2,96,5.84,95,0.693,12.6
2012,63.4,2,0.01,12.83447357,95,7,3,96,6.27,95,0.687,12.5
2011,62.2,2,5.76,668.9562854,95,8,3,96,5.25,95,0.678,12.4
2010,61.1,2,5.99,547.0386679,95,853,3,96,5.64,95,0.669,12.3
2009,59.2,2,5.01,426.7855662,94,184,3,96,6.39,96,0.661,12.2
2008,57.5,2,6.56,476.8625872,94,0,3,96,5.55,96,0.646,12.1
2007,56.9,2,6.21,512.5887995,93,1,3,96,4.71,96,0.63,12.1
2006,54.8,2,6.45,76.31867911,93,6,3,96,4.93,96,0.61,11.9
2005,51.7,2,6.37,629.8425643,92,5,3,96,5.62,96,0.593,11.9
2004,48.1,2,4.9,469.5823898,91,1,4,96,5.56,96,0.58,11.8
2003,46.4,2,5.51,299.3671252,9,59,4,96,4.65,96,0.567,11.8
2002,46,2,6.41,6.3300072,88,7,4,97,6.47,97,0.558,11.9
